Country/Region,Date,Day_after_100cases,Confirmed,Recovered,Deaths,Active_Cases,New_Cases,Confirmed_7day_before,Confirmed_Doubling_Time,Recovered_7day_before,Recovered_Doubling_Time,Deaths_7day_before,Deaths_7day_Doubling_Time
Afghanistan,2020-01-22,-1,0,0,0,0,0.0,0,,0,,0,
Afghanistan,2020-01-23,-1,0,0,0,0,0.0,0,,0,,0,
Afghanistan,2020-01-24,-1,0,0,0,0,0.0,0,,0,,0,
Afghanistan,2020-01-25,-1,0,0,0,0,0.0,0,,0,,0,
Afghanistan,2020-01-26,-1,0,0,0,0,0.0,0,,0,,0,
Afghanistan,2020-01-27,-1,0,0,0,0,0.0,0,,0,,0,
Afghanistan,2020-01-28,-1,0,0,0,0,0.0,0,,0,,0,
Afghanistan,2020-01-29,-1,0,0,0,0,0.0,0,,0,,0,
Afghanistan,2020-01-30,-1,0,0,0,0,0.0,0,,0,,0,
Afghanistan,2020-01-31,-1,0,0,0,0,0.0,0,,0,,0,
Afghanistan,2020-02-01,-1,0,0,0,0,0.0,0,,0,,0,
Afghanistan,2020-02-02,-1,0,0,0,0,0.0,0,,0,,0,
Afghanistan,2020-02-03,-1,0,0,0,0,0.0,0,,0,,0,
Afghanistan,2020-02-04,-1,0,0,0,0,0.0,0,,0,,0,
Afghanistan,2020-02-05,-1,0,0,0,0,0.0,0,,0,,0,
Afghanistan,2020-02-06,-1,0,0,0,0,0.0,0,,0,,0,
Afghanistan,2020-02-07,-1,0,0,0,0,0.0,0,,0,,0,
Afghanistan,2020-02-08,-1,0,0,0,0,0.0,0,,0,,0,
Afghanistan,2020-02-09,-1,0,0,0,0,0.0,0,,0,,0,
Afghanistan,2020-02-10,-1,0,0,0,0,0.0,0,,0,,0,
Afghanistan,2020-02-11,-1,0,0,0,0,0.0,0,,0,,0,
Afghanistan,2020-02-12,-1,0,0,0,0,0.0,0,,0,,0,
Afghanistan,2020-02-13,-1,0,0,0,0,0.0,0,,0,,0,
Afghanistan,2020-02-14,-1,0,0,0,0,0.0,0,,0,,0,
Afghanistan,2020-02-15,-1,0,0,0,0,0.0,0,,0,,0,
Afghanistan,2020-02-16,-1,0,0,0,0,0.0,0,,0,,0,
Afghanistan,2020-02-17,-1,0,0,0,0,0.0,0,,0,,0,
Afghanistan,2020-02-18,-1,0,0,0,0,0.0,0,,0,,0,
Afghanistan,2020-02-19,-1,0,0,0,0,0.0,0,,0,,0,
Afghanistan,2020-02-20,-1,0,0,0,0,0.0,0,,0,,0,
Afghanistan,2020-02-21,-1,0,0,0,0,0.0,0,,0,,0,
Afghanistan,2020-02-22,-1,0,0,0,0,0.0,0,,0,,0,
Afghanistan,2020-02-23,-1,0,0,0,0,0.0,0,,0,,0,
Afghanistan,2020-02-24,-1,1,0,0,1,1.0,0,,0,,0,
Afghanistan,2020-02-25,-1,1,0,0,1,0.0,0,,0,,0,
Afghanistan,2020-02-26,-1,1,0,0,1,0.0,0,,0,,0,
Afghanistan,2020-02-27,-1,1,0,0,1,0.0,0,,0,,0,
Afghanistan,2020-02-28,-1,1,0,0,1,0.0,0,,0,,0,
Afghanistan,2020-02-29,-1,1,0,0,1,0.0,0,,0,,0,
Afghanistan,2020-03-01,-1,1,0,0,1,0.0,1,,0,,0,
Afghanistan,2020-03-02,-1,1,0,0,1,0.0,1,,0,,0,
Afghanistan,2020-03-03,-1,1,0,0,1,0.0,1,,0,,0,
Afghanistan,2020-03-04,-1,1,0,0,1,0.0,1,,0,,0,
Afghanistan,2020-03-05,-1,1,0,0,1,0.0,1,,0,,0,
Afghanistan,2020-03-06,-1,1,0,0,1,0.0,1,,0,,0,
Afghanistan,2020-03-07,-1,1,0,0,1,0.0,1,,0,,0,
Afghanistan,2020-03-08,-1,4,0,0,4,3.0,1,3.0,0,,0,
Afghanistan,2020-03-09,-1,4,0,0,4,0.0,1,3.0,0,,0,
Afghanistan,2020-03-10,-1,5,0,0,5,1.0,1,2.5840593484403582,0,,0,
Afghanistan,2020-03-11,-1,7,0,0,7,2.0,1,2.137243122648133,0,,0,
Afghanistan,2020-03-12,-1,7,0,0,7,0.0,1,2.137243122648133,0,,0,
Afghanistan,2020-03-13,-1,7,0,0,7,0.0,1,2.137243122648133,0,,0,
Afghanistan,2020-03-14,-1,11,0,0,11,4.0,4,4.111189536651487,0,,0,
Afghanistan,2020-03-15,-1,16,0,0,16,5.0,4,3.0,0,,0,
Afghanistan,2020-03-16,-1,21,1,0,20,5.0,5,2.8980056645243337,0,,0,
Afghanistan,2020-03-17,-1,22,1,0,21,1.0,7,3.6317926476548243,0,,0,
Afghanistan,2020-03-18,-1,22,1,0,21,0.0,7,3.6317926476548243,0,,0,
Afghanistan,2020-03-19,-1,22,1,0,21,0.0,7,3.6317926476548243,0,,0,
Afghanistan,2020-03-20,-1,24,1,0,23,2.0,11,5.3308177461033575,0,,0,
Afghanistan,2020-03-21,-1,24,1,0,23,0.0,16,10.257067748108728,0,,0,
Afghanistan,2020-03-22,-1,40,1,1,38,16.0,21,6.4543148868874525,1,,0,
Afghanistan,2020-03-23,-1,40,1,1,38,0.0,22,6.956550160165999,1,,0,
Afghanistan,2020-03-24,-1,74,1,1,72,34.0,22,3.4285288227498922,1,,0,
Afghanistan,2020-03-25,-1,84,2,2,80,10.0,22,3.1041668303136207,1,6.0,0,
Afghanistan,2020-03-26,-1,94,2,4,88,10.0,24,3.0462630625784968,1,6.0,0,
Afghanistan,2020-03-27,0,110,2,4,104,16.0,24,2.731746318481956,1,6.0,0,
Afghanistan,2020-03-28,1,110,2,4,104,0.0,40,4.111189536651487,1,6.0,1,3.0
Afghanistan,2020-03-29,2,120,2,4,114,10.0,40,3.7855785214287447,1,6.0,1,3.0
Afghanistan,2020-03-30,3,170,2,4,164,50.0,74,5.0002601364136865,1,6.0,1,3.0
Afghanistan,2020-03-31,4,174,5,4,165,4.0,84,5.710880544271834,2,4.53882478419618,2,6.0
Afghanistan,2020-04-01,5,237,5,4,228,63.0,94,4.497230614762058,2,4.53882478419618,4,
Afghanistan,2020-04-02,6,273,10,6,257,36.0,110,4.575272053047795,2,2.5840593484403582,4,10.257067748108728
Afghanistan,2020-04-03,7,281,10,6,265,8.0,110,4.4343715012300695,2,2.5840593484403582,4,10.257067748108728
Afghanistan,2020-04-04,8,299,10,7,282,18.0,120,4.555424441820831,2,2.5840593484403582,4,7.431675755080001
Afghanistan,2020-04-05,9,349,15,7,327,50.0,170,5.782060883948534,2,2.064061168681163,4,7.431675755080001
Afghanistan,2020-04-06,10,367,18,11,338,18.0,174,5.572620379418728,5,3.2467586816393794,4,4.111189536651487
Afghanistan,2020-04-07,11,423,18,14,391,56.0,237,7.179003388839556,5,3.2467586816393794,4,3.3197685339906733
Afghanistan,2020-04-08,12,444,29,14,401,21.0,273,8.551165662937962,10,3.9061154723653813,6,4.90840739460751
Afghanistan,2020-04-09,13,484,32,15,437,40.0,281,7.648798608989358,10,3.5755321221454217,6,4.53882478419618
Afghanistan,2020-04-10,14,521,32,15,474,37.0,299,7.489347451006877,10,3.5755321221454217,7,5.456848872054508
Albania,2020-01-22,-1,0,0,0,0,0.0,349,,15,,7,
Albania,2020-01-23,-1,0,0,0,0,0.0,367,,18,,11,
